name,phone_number,address,zip_code,city,cuisine,is_fast_food,is_breakfast
"BARNES & NOBLE BOOKSELLERS,INC",(919) 806-1930,8030 RENAISSANCE PRKWAY,27713,DURHAM,American,true,false
RANDY'S PIZZA,(919) 286-7272,1720 GUESS RD,27701,DURHAM,Itallian,false,false
TWISTED NOODLES,(919) 489-9888,"4201 UNIVERSITY DR #112",27707,DURHAM,Asian,false,false
STARBUCK'S  9715,(919) 493-2471,5319 NEW HOPE COMMONS EXTENS,27707,DURHAM,Coffee,true,true
ERWIN SQUARE CAFE,(919) 416-9191,2200 W MAIN ST STE B100,27705,DURHAM,Coffee,true,true
BOWL OF PHO,(904) 415-9368,2806 S MIAMI BLVD,27703,DURHAM,American,false,false
BLACK TWIG CIDER HOUSE,(919) 321-0203,2812 ERWIN ROAD SUITE 104,27705,DURHAM,American,false,false
KWIK WOK,(919) 569-0868,3723 WAKE FOREST HWY,27703,DURHAM,Asian,false,false
PIZZA HUT DELIVERY,(919) 477-7377,3808 GUESS ROAD,27705,DURHAM,Itallian,true,false
TABERNA TAPAS DINER,(919) 797-1457,325 W MAIN ST,27701,DURHAM,Mexican,false,false
"SUBWAY, TRIANGLE 12718",(919) 220-5171,1534 S MIAMI BLVD,27703,DURHAM,American,true,false
KANKI JAPANESE HOUSE OF STEAKS,(919) 401-6908,3504 MT MORIAH ROAD,27707,DURHAM,Asian,false,false
LONE STAR STEAKHOUSE & SALOON,(919) 530-8119,5307 NEW HOPE COMMONS DRIVE,27707,DURHAM,American,false,false
AMANTE PIZZA,(919) 493-0904,6209 FALCONBRIDGE RD,27514,CHAPEL HILL,Itallian,true,false
THRILLS FROM THE GRILL,(919) 220-5787,2827 N ROXBORO ROAD,27704,DURHAM,American,false,false
KOUMI JAPANESE RESTURANT,(980) 322-6174,3550 N. ROXBORO RD.,27704,DURHAM,Asian,false,false
STARBUCKS,(919) 668-3815,DUKE HOSPITAL NORTH,27705,DURHAM,Coffee,true,true
"BOJANGLES #6",(919) 471-0581,4525 N. ROXBORO ROAD,27704,DURHAM,American,true,false
RANDY'S PIZZA,(919) 490-6850,1813 MLK PARKWAY,27707,DURHAM,Itallian,true,false
CHICK-FIL-A EXPRESS,(919) 684-3741,DUKE SOUTH CLINIC,27705,DURHAM,American,true,false
HOLIDAY INN EXPRESS BREAKFAST BAR,(919) 596-5340,6119 FARRINGTON RD,27517,CHAPEL HILL,Breakfast,true,true
POMEGRANATE KITCHEN,(919) 886-0356,5504 CHAPEL HILL BLVD. SUITE 102,27707,DURHAM,American,true,false
DOMINO'S,(919) 682-3030,1209 W. MAIN ST.,27701,DURHAM,Itallian,true,false
CHINA EXPRESS,(919) 544-7013,2223 NC 54 HWY,27713,DURHAM,Asian,false,false
BISCUITVILLE  160,(919) 383-9174,3201 HILLSBOROUGH RD,27705,DURHAM,Breakfast,true,true
PAPA JOHNS,(919) 402-9900,5318 NEW HOPE COMMONS EXT,27707,DURHAM,Itallian,true,false
"MCDONALDS #368",,2010 N ROXBORO ROAD,27704,DURHAM,American,true,false
WE BEA GRILLIN,(919) 440-2440,1102 HOLLOWAY ST,27703,DURHAM,American,false,false
"BURGER KING #944",(919) 596-9184,1605 US 70 E,27703,DURHAM,American,true,false
HARRIS TEETER STARBUCKS,(919) 286-1500,2107 HILLSBOROUGH ROAD,27705,DURHAM,Coffee,true,true
SUBWAY,(919) 544-0220,6910 FAYETTEVILLE ROAD  236,27713,DURHAM,American,true,false
WOK N GRILL,(919) 474-8100,5311 S MIAMI BLVD,27703,DURHAM,Asian,false,false
CHUBBYS TACOS,(919) 286-4499,748 NINTH STREET,27705,DURHAM,Mexican,true,false
LITTLE CAESARS PIZZA,(919) 797-0463,923 N. MIAMI BLVD.,27703,DURHAM,Itallian,true,false
WAFFLE HOUSE,(919) 382-3355,3500 HILLSBOROUGH RD,27705,DURHAM,Breakfast,true,true
"WENDY S   #15",(919) 957-4887,1808 S MIAMI BLVD,27703,DURHAM,American,true,false
BURGER KING,(919) 682-7546,1601 HWY. 55,27705,DURHAM,American,true,false
GG THE TASTE OF CHICAGO & FISH CHICKEN,(919) 682-9145,826 FAYETTEVILLE ST SUITE 103,27701,DURHAM,American,false,false
SUBWAY,(919) 477-5389,5300 N ROXBORO RD,27712,DURHAM,American,true,false
MAMA'S HOT CHICKEN,(919) 323-9172,900 W MAIN ST ALIVIA'S,27701,DURHAM,American,true,false
"SUBWAY, COFFEE WORLD, ICE CREAM",(919) 477-8558,3799 GUESS RD,27705,DURHAM,Coffee,true,true
SUBWAY,(919) 572-0902,8128 RENAISSANCE PKWY SUITE 113,27713,DURHAM,American,false,false
TOP'S CHINA,(919) 401-8406,5324 NEW HOPE COMMONS DR. STE 301,27707,DURHAM,Asian,true,false
MCALISTER'S DELI,(919) 419-9083,5318 NEW HOPE COMMONS DRIVE,27707,DURHAM,American,false,false
TAQUERIA JALISCO,(919) 358-7824,3808 GUESS RD SUITE 1,27703,DURHAM,Mexican,true,false
FAY STREET GROCERY AND GRILL,(919) 491-0595,1302 FAY STREET,27701,DURHAM,American,true,false
PUPUSERIA LA METAPANECA,(919) 596-2763,2405 HOLLOWAY ST,27703,DURHAM,Mexican,true,false
EL CORRAL MEXICAN RESTAURANT INC,(919) 309-4543,"1821 HILLANDALE RD #8",27705,DURHAM,Mexican,false,false
YAMAZUSHI,(919) 493-7748,4711 HOPE VALLEY RD SUITE 6A,27707,DURHAM,Asian,false,false
SUBWAY,(919) 493-4116,4600 CHAPEL HILL BLVD,27707,DURHAM,American,true,false
CARRABBAS ITALIAN GRILL,(919) 401-5950,5312 NEW HOPE COMMONS EXTENS,27707,DURHAM,Itallian,false,false
SUBWAY,(919) 286-9681,1058 W CLUB,27701,DURHAM,American,true,false
EL CHAPIN,(919) 308-2440,4600 DURHAM CHAPEL HILL BLVD,27707,DURHAM,Mexican,false,false
ROMA PIZZA,(919) 641-0675,121 SHERRON RD 302,27703,DURHAM,Itallian,true,false
"WENDY'S #2390",(919) 474-0017,5402 S MIAMI BLVD,27703,DURHAM,American,true,false
TACO BELL,(919) 419-1896,3509 WESTGATE DR,27707,DURHAM,Mexican,true,false
NEW JAPAN EXPRESS,(919) 220-4074,1800 STRAUSS DR.,27703,DURHAM,Asian,false,false
COSINA MEXICANA LA PENA DE HOREB,(919) 592-1796,2300 CHAPEL HILL ROAD,27707,DURHAM,Mexican,true,false
FOOD DELICIOUS,(888) 512-3343,1102 HOLLOWAY STREET,27703,DURHAM,American,true,false
LUCKY'S DELICATESSEN,(919) 864-8841,107 WEST CHAPEL HILL STREET,27701,DURHAM,American,false,false
TAQUERIA OAXAQUENA,(919) 358-2952,821 N MIAMI BLVD,27703,DURHAM,Mexican,true,false
STARICO EL TACO,(919) 309-5826,308 S DRIVER ST DURHAM COMMISSARY,27705,DURHAM,Mexican,true,false
BORICUA SOUL,(561) 512-8881,1102 HOLLOWAY STREET,27701,DURHAM,American,true,false
THE EGG HOUSE,(919) 813-9749,308 S DRIVER STREET,27703,DURHAM,American,true,false
WENDY'S 6310,(620) 231-3390,3527 HILLSBOROUGH RD,27705,DURHAM,American,true,false
DOMINO'S-WOODCROFT,(919) 493-4077,4711 HOPE VALLEY ROAD,27707,DURHAM,Itallian,true,false
EL RODEO,(919) 470-4289,3404 WESTGATE DR,27707,DURHAM,Mexican,false,false
SUBWAY 29857,(919) 544-6500,3825 S ROXBORO RD,27713,DURHAM,American,true,false
PAPA JOHNS PIZZA,(919) 484-7766,4901 HIGHWAY 55,27713,DURHAM,Itallian,true,false
"ONLY BURGER MFU DC #21",(919) 937-9377,3710 SHANNON RD. SUITE 118,27707,DURHAM,American,true,false
SITAR INDIAN CUISINE,(919) 490-1326,3630 CHAPEL HILL BLVD.,27707,DURHAM,Indian,false,false
CHINA KING,(919) 688-0102,1418 AVONDALE DR.,27701,DURHAM,Asian,true,false
ASIAN KITCHEN,(919) 490-5678,1125 W. NC HWY 54 SUITE 801,27707,DURHAM,Asian,false,false
DUBOSE HOUSE AND BAR,(919) 682-0228,150 DUBOSE HOUSE LN,27517,CHAPEL HILL,American,false,false
CHUBBY'S TACOS WOODCROFT,(919) 489-4636,4711 HOPE VALLEY RD. SUITE C-1,27707,DURHAM,Mexican,false,false
"PUPUSERIA & TAQUERIA DC #31",(919) 471-3299,TAQUERIA ORELLANA 5300 N ROXBORO RD,27712,DURHAM,Mexican,true,false
ONLY BURGER,(919) 724-1622,"3710 SHANNON RD., SUITE 118",27707,DURHAM,American,true,false
HAPPY CHINA SICHUAN CUISINE,(919) 237-2021,2505 DURHAM CHAPEL HILL RD,27707,DURHAM,Asian,false,false
RANDY'S PIZZA,(919) 403-6850,"4810 HOPE VALLEY RD, SUITE 112",27707,DURHAM,Itallian,true,false
THAI CAFE,(919) 493-9794,2501 UNIVERSITY DRIVE,27707,DURHAM,Coffee,false,true
MCDONALDS,(919) 806-1345,204 WEST HWY 54,27713,DURHAM,American,true,false
PIZZA HUT,(919) 361-2728,2107 E. HWY. 54,27713,DURHAM,Itallian,true,false
LI MING'S GLOBAL MART (CAFE),(919) 489-9888,3400 WESTGATE DRIVE SUITE 14A,27707,DURHAM,Coffee,false,true
BULL CITY BURGER AND BREWERY,(919) 680-2333,107 E. PARRISH STREET,27701,DURHAM,American,true,false
WELLSPRING CAFE,(919) 572-1210,621 BROAD ST,27705,DURHAM,Coffee,false,true
ANOTHER BROKEN EGG CAFE,(919) 381-5172,2608 ERWIN RD SUITE 120,27705,DURHAM,Coffee,false,true
TAQUERIA LA ESPERANZA,(919) 672-7010,1028 HOLLOWAY ST,27701,DURHAM,Mexican,false,false
BONEFISH GRILL,(919) 248-2906,7820 NC 751 HWY,27713,DURHAM,American,false,false
JAPAN EXPRESS,(919) 598-6817,3409 HILLSBOROUGH RD.,27705,DURHAM,Asian,false,false
LILLY'S PIZZA,(919) 797-2554,810 W PEABODY ST,27701,DURHAM,Itallian,false,false
VINE JAPANESE AND THAI,(919) 294-8224,607 BROAD ST,27705,DURHAM,Asian,false,false
SUBWAY 49175,(919) 401-4962,5450 NEW HOPE COMMONS DR,27707,DURHAM,American,true,false
TACOS SANJUAN,(919) 455-8661,2104 ANGIER AVE JOE’S COMISSARY,27703,DURHAM,Mexican,true,false
TOWN HALL BURGER AND BEER,(919) 973-0506,7830 751 HWY SUITE 100,27713,DURHAM,American,true,false
EL TORITO BRAVO,(919) 806-9353,2104 ANGIER AVE JOE’S COMMISSARY,27701,DURHAM,Mexican,true,false
TACOS TAMAULIPAS,(919) 267-0025,2104 ANGIER AVE JOE’S COMMISSARY,27703,DURHAM,Mexican,true,false
HIBACHI GRILL & SUPREME BUFFET,(919) 596-8936,4600 DURHAM-CHAPEL HILL BLVD.,27707,DURHAM,American,false,false
TOP'S CHINA RESTAURANT,(919) 425-0001,1919 HOLLOWAY ST,27703,DURHAM,Asian,true,false
BISCUITVILLE 158,(919) 419-8246,2822 CHAPEL HILL BLVD,27707,DURHAM,Breakfast,true,true
INTERNATIONAL DELIGHTS,(919) 286-2884,740 NINTH ST,27705,DURHAM,American,true,false
"BURGER KING RESTAURANT #399",(919) 286-0020,1200 WEST CLUB BLVD,27704,DURHAM,American,true,false
THE CAFE AT THE PLAZA,,4820 EMPEROR BLVD,27703,DURHAM,Coffee,false,true
BOJANGLE'S TRIARC FOOD SYSTEMS INC,(919) 237-2378,176 STRATFORD LAKES DR,27713,DURHAM,American,true,false
RUTH'S CHRIS STEAK HOUSE,(919) 361-0123,7007 FAYETTEVILLE RD.,27713,DURHAM,American,false,false
VICEROY PUB,(919) 797-0413,335 W MAIN STREET,27701,DURHAM,American,false,false
DUNKIN DONUTS,(919) 819-7039,3457 HILLSBOROUGH ROAD,27705,DURHAM,Breakfast,true,true
GOLDEN PIZZA,(919) 638-3711,2300 CHAPEL HILL ROAD,27707,DURHAM,Itallian,true,false
PAGE ROAD GRILL,(919) 908-8900,5416 PAGE RD,27703,DURHAM,American,false,false
TACOS COSTA GRANDE,(919) 422-7372,2945 S MIAMI BLVD SUITE 127,27703,DURHAM,Mexican,true,false
JERSEY MIKE'S SUBS,(919) 248-8300,7001 FAYETTEVILLE ROAD,27713,DURHAM,American,true,false
THE DOG HOUSE,(419) 314-7661,5279 N ROXBORO RD,27712,DURHAM,American,true,false
"BOJANGLES #8",(919) 383-6797,3558 HILLSBOROUGH ROAD,27705,DURHAM,American,true,false
"BURGER KING #217",(919) 493-6664,3400 WESTGATE DRIVE,27707,DURHAM,American,true,false
THE GROVE CAFE,(919) 458-9264,110 CLAYTON ROAD,27703,DURHAM,Coffee,true,true
MCDONALDS  19805,(919) 624-7099,1708 NEW RALEIGH HWY,27703,DURHAM,American,true,false
EPA CAFETERIA,,109 T W ALEXANDER DRIVE,27709,DURHAM,Coffee,false,true
DOMINOS PIZZA,(919) 598-1111,3001 E HOLLOWAY ST,27703,DURHAM,Itallian,true,false
CHARROS MEXICAN RESTAURANT,(919) 937-9825,3511 WITHERSPOON BLVD SUITE 107,27707,DURHAM,Mexican,false,false
COUNTING HOUSE,(919) 956-6700,111 NORTH CORCORAN STREET,27701,DURHAM,American,false,false
FIVE GUYS BURGERS AND FRIES,(919) 489-3555,"5332 MCFARLAND DR,  SUITE 110",27707,DURHAM,American,true,false
"STARBUCKS #13656",(919) 471-2957,3801 GUESS RD,27705,DURHAM,Coffee,true,true
TROPICAL SMOOTHIE CAFE,(919) 474-2233,"5311 S MIAMI BLVD, SUITE F",27703,DURHAM,Coffee,true,true
SUBWAY,(919) 493-3152,2405 CHAPEL HILL BLVD,27707,DURHAM,American,false,false
SPROUT CAFE,(919) 220-5429,433 MURRAY AVE,27704,DURHAM,Coffee,false,true
PERKY'S PIZZA,(919) 688-8782,3422 RED MILL ROAD,27704,DURHAM,Itallian,true,false
BISCUITVILLE,(919) 682-3658,1806 HOLLOWAY ST,27703,DURHAM,Breakfast,true,true
TEXAS ROADHOUSE,(919) 471-8738,1809 NORTH POINT DR,27705,DURHAM,American,false,false
THAI CHINA BUFFET,(919) 361-8881,4900 HWY 55,27713,DURHAM,Asian,false,false
"DELI-ICIOUS DC #102",(919) 410-8849,2401-303 OLD WORLD PLACE,27612,RALEIGH,American,true,false
BOCCI TRATTORIA & PIZZERIA,(919) 206-4067,5850 FAYETTEVILLE RD,27713,DURHAM,American,false,false
THE DOG HOUSE,(919) 682-3109,931 N MIAMI BLVD,27703,DURHAM,American,true,false
CAJUN CAFE AND GRILL,(917) 302-7977,1058 W CLUB BLVD. SUITE 548,27701,DURHAM,Coffee,true,true
RISE BISCUITS & DONUTS,,401 A FOSTER ST,27701,DURHAM,Breakfast,true,true
FIREHOUSE SUBS,(919) 489-2900,5319 NEW HOPE COMMONS,27707,DURHAM,American,true,false
O SO GOOD KURBSIDE KITCHEN,(919) 251-9763,1102 HOLLOWAY ST,27701,DURHAM,American,true,false
"TAQUERIA LA ESPERANZA  DC #3",(919) 949-0920,1028 HOLLOWAY ST.,27701,DURHAM,Mexican,true,false
SAM'S CLUB 4831 CLUB CAFE,(919) 489-8160,4005 CHAPEL HILL BLVD,27707,DURHAM,Coffee,true,true
LUCKY CHICKEN,(919) 338-4325,1720 GUESS RD,27701,DURHAM,American,false,false
SATISFACTION RESTAURANT AND BAR,(919) 682-7397,905 W MAIN ST STE 37,27701,DURHAM,American,false,false
CHIPOTLE MEXICAN GRILL,(919) 309-2901,"2608 ERWIN ROAD # 17",27705,DURHAM,Mexican,false,false
CHICK FIL A @ SOUTH SQUARE,(919) 419-6219,4120 UNIVERSITY DRIVE,27707,DURHAM,American,true,false
MCDONALDS,(919) 688-3070,102 MORGAN ST,27701,DURHAM,American,true,false
STAYBRIDGE SUITES BREAKFAST BA,(919) 401-9800,3704 MT. MORIAH ROAD,27707,DURHAM,Breakfast,true,true
SALADELIA,(919) 416-1400,2424 ERWIN RD. SUITE 303,27705,DURHAM,American,true,false
SUBWAY,(919) 286-3030,705 NINTH ST.,27705,DURHAM,American,true,false
PIZZA INN,(919) 294-6700,3906 N DUKE ST.,27704,DURHAM,Itallian,true,false
MOE'S SOUTHWEST GRILL,(919) 493-6637,5332 MCFARLAND DR.,27707,DURHAM,American,true,false
DICKEYS BARBECUE PIT,(916) 502-6757,5318 NEW HOPE COMMONS,27707,DURHAM,American,false,false
TAQUERIA MI PUEBLO,(919) 688-3461,223 THE VILLAGE,27703,DURHAM,Mexican,false,false
CHICK FIL A,(919) 382-9399,3429 HILLSBOROUGH RD,27705,DURHAM,American,false,false
TOWN DELI GROCERY,(919) 768-2192,801 N ALSTON AVE,27701,DURHAM,American,true,false
THE COOKERY,(919) 801-7290,1101 W CHAPEL HILL ST,27701,DURHAM,American,false,false
L & D GROCERY & GRILL,(919) 596-1735,2620 ANGIER AVE,27703,DURHAM,American,true,false
LOUDERMILK PASTRY KITCHEN,(919) 913-2098,150 DUBOSE HOUSE LN,27517,CHAPEL HILL,American,true,false
EL RODEO OF DURHAM INC,(919) 683-2417,905 W MAIN STREET,27701,DURHAM,Mexican,true,false
"EL DORADO'S #6",(919) 361-0302,4900 HWY 55,27713,DURHAM,Mexican,false,false
ZINBURGER,(919) 293-1726,8030 RENNNAISSANCE PARKWAY,27713,DURHAM,American,false,false
CREE CAFETERIA,(919) 407-5631,4425 SILICON DRIVE,27703,DURHAM,Coffee,false,true
TAQUERIA DON BERCERRA,(919) 220-0206,2301 N. ROXBORO RD.,27704,DURHAM,Mexican,false,false
SUBWAY,(919) 383-9219,3600 HILLSBOROUGH RD,27705,DURHAM,American,true,false
NEW CHINA,(919) 806-3354,121 SHERRON ROAD,27703,DURHAM,Asian,false,false
"BOB EVANS FARM REST #321",(919) 403-6766,5419 CHAPEL HILL BLVD,27707,DURHAM,American,false,false
JIMMY JOHN'S,(919) 286-5383,701 NINTH STREET,27705,DURHAM,American,true,false
"TOOTIE'S MOBILE KITCHEN DC #55",(919) 641-2177,TOOTIES GRILL & CAFE 2108 ANGIER AVE,27701,DURHAM,American,true,false
"LAS DELICIAS DC #1",(919) 710-1435,2104 ANGIER AVE JOE’S COMMISSARY,27703,DURHAM,American,true,false
V'S KITCHEN,(910) 286-1070,2945 S MIAMI BLVD SUITE 127,27703,DURHAM,American,false,false
POMPIERI PIZZA,(919) 973-1589,102 CITY HALL PLAZA SUITE 101,27701,DURHAM,Itallian,false,false
R&B SEAFOOD BOX,(919) 680-2227,518 E TRINITY AVE SUITE B,27701,DURHAM,American,true,false
"BURGER KING #17454",(919) 941-9197,5630 S MIAMI BLVD,27707,DURHAM,American,true,false
OUTBACK STEAK HOUSE,(919) 544-6358,3500 MT MORIAH ROAD,27707,DURHAM,American,false,false
RANDY'S PIZZA,(919) 941-7755,5311 S MIAMI BLVD,27703,DURHAM,Itallian,true,false
R & B GRILL,(919) 596-8938,"1408 CHRISTIAN AVE #3 SOPHISTICATED CATERING INC",27703,DURHAM,American,true,false
M SUSHI,(919) 908-9266,311 HOLLAND ST,27701,DURHAM,Asian,false,false
TACOS LA AURORA,(919) 685-0164,2300 CHAPEL HILL ROAD,27702,DURHAM,Mexican,true,false
FIREHOUSE SUBS,(919) 479-1333,4201 N ROXBORO ROAD SUITE 110,27704,DURHAM,American,true,false
PHO & POKE HOUSE,(919) 412-9154,2816 ERWIN RD STU 207,27705,DURHAM,American,false,false
SUPER TAQUERIA,(919) 220-9884,2842 N ROXBORO RD,27704,DURHAM,Mexican,false,false
CHIPOTLE MEXICAN GRILL,(919) 401-5469,3219 WATKINS ROAD,27707,DURHAM,Mexican,true,false
FIDELITY CAFE @ NETWORK CENTER,(919) 458-3596,4004 EAST HWY 54,27703,DURHAM,Coffee,false,true
TACO GRANDE,(919) 672-9054,2104 ANGIER AVE JOE’S COMMISSARY,27703,DURHAM,Mexican,true,false
PENN STATION EAST COAST SUBS,(919) 237-3044,8200 1001 RENAISSANCE PARKWAY,27713,DURHAM,American,true,false
"FLIK AT FIDELITY,DANBURY HALL",(919) 458-3596,5411 PAGE ROAD,27703,DURHAM,American,false,false
TACOS TIA REME,(984) 888-6465,200 LYNNFOREST DR,27713,DURHAM,Mexican,true,false
BIG C'S WAFFLES,(919) 274-8439,4310 S MIAMI BLVD,27703,DURHAM,Breakfast,true,true
MCALISTER'S DELI,(919) 806-3354,6807 FAYETTEVILLE ROAD 117,27713,DURHAM,American,false,false
RAFA'S BURGERS,(919) 923-3267,2300 CHAPEL HILL ROAD,27707,DURHAM,American,true,false
DUNKIN DONUTS,(919) 406-6666,1125 W. NC 54 SUITE 504,27707,DURHAM,Breakfast,true,true
JIMMY JOHN'S GOURMET SANDWICH SHOP,(919) 472-0506,3219 WATKINS ROAD,27707,DURHAM,American,true,false
JIMMY JOHN'S,(919) 419-7111,1125 W HWY 54 STE 802,27713,DURHAM,American,true,false
SUBWAY 11138,(919) 687-2771,1000 N. MIAMI BLVD,27703,DURHAM,American,true,false
TAQUERIA SAN PABLITO,(919) 824-1140,2104 ANGIER AVE JOE’S COMMISSARY,27703,DURHAM,Mexican,true,false
"CHICKEN HUT #1",(919) 682-5697,3019 FAYETTEVILLE STREET,27707,DURHAM,American,false,false
DANNY'S BAR-B-QUE,(919) 806-1965,2945 S MIAMI BLVD,27703,DURHAM,American,true,false
Q SHACK,(919) 402-4227,2510 UNIVERSITY DRIVE,27707,DURHAM,American,false,false
WILLIAM'S GOURMET KITCHEN,(919) 806-0690,2114 EAST HIGHWAY 54,27713,DURHAM,American,false,false
TJ'S KITCHEN,(919) 673-7188,"1408 CHRISTIAN AVE #3 SOPHISTICATED CATERING INC",27705,DURHAM,American,true,false
SUBWAY NCCU,(919) 530-7807,1801 FAYETTEVILLE STREET,27707,DURHAM,American,true,false
MARCO'S PIZZA,(919) 410-9101,1125 W NC HIGHWAY 54 SUITE 406,27707,DURHAM,Itallian,true,false
MATTIE B'S PUBLIC HOUSE,(717) 586-4619,1125 W NC HWY 54 STE 301,27707,DURHAM,American,false,false
"TACOS GARCIA #2",(919) 633-1915,2104 ANGIER AVE JOE’S COMMISSARY,27703,DURHAM,Mexican,true,false
GODDESS GARDEN CAFE,(919) 937-9534,4125 DURHAM CHAPEL HILL BLVD,27707,DURHAM,Coffee,true,true
CHINA PALACE EXPRESS,(919) 493-3088,5210 GARRETT ROAD,27707,DURHAM,Asian,false,false
COURTYARD CAFE,(919) 598-9638,301 RESIDENCE INN BLVD,27713,DURHAM,Coffee,true,true
BASF CAFETERIA,(919) 547-2000,26 DAVIS DRIVE,27709-3528,RTP,Coffee,false,true
NANTUCKET CAFE AND GRILL,(919) 402-0077,5925 FARRINGTON RD,27517,CHAPEL HILL,Coffee,false,true
CAROLINA ALE HOUSE,(919) 490-2001,3911 DURHAM CHAPEL HILL BLVD,27707,DURHAM,American,false,false
SUBWAY,(919) 560-0082,200 E MAIN ST,27701,DURHAM,American,true,false
"SUBWAY  #11873",(919) 596-1217,121 SHERRON RD,27703,DURHAM,American,true,false
CHINA STAR,(919) 477-1068,5128 N ROXBORO RD,27712,DURHAM,Asian,false,false
COOK OUT DURHAM ROX,(866) 547-0011,4245 N ROXBORO ROAD,27704,DURHAM,American,true,false
BENNETT POINTE GRILL,(919) 382-9431,4625 HILLSBOROUGH RD,27705,DURHAM,American,false,false
PIPER'S DELI,(919) 489-2481,3219 OLD CHAPEL HILL RD,27707,DURHAM,American,false,false
MCDONALDS 27133,(919) 677-2700,5507 S MIAMI BLVD,27703,DURHAM,American,true,false
PAPA JOHNS,(919) 957-0606,3751 HOLLOWAY STREET,27703,DURHAM,Itallian,true,false
BISCUITVILLE - 103,(919) 286-4373,1129 CLUB BOULEVARD,27701,DURHAM,Breakfast,true,true
SHIKI SUSHI20,(919) 484-4108,207HWY 54 W,27713,DURHAM,Asian,false,false
KING'S DAUGHTERS INN KITCHEN,(919) 474-9922,204 N. BUCHANNAN BLVD,27701,DURHAM,American,false,false
BISCUITVILLE - 149,(919) 220-1090,3203 N. ROXBORO ROAD,27704,DURHAM,Breakfast,true,true
ITALIAN PIZZERIA SANDWICH,(984) 219-6110,3405 SUITE A HILLSBOROUGH ROAD,27705,DURHAM,Itallian,false,false
HARRIS TEETER 172 STARBUCKS,(333) 333-3333,1817 MARTIN LUTHER KING JR BLVD,27707,DURHAM,Coffee,true,true
ITALIAN PIZZERIA,(919) 471-0664,3823 GUESS RD,27705,DURHAM,Itallian,false,false
DOMINO'S PIZZA,(919) 288-0303,1601 HWY. 54,27713,DURHAM,Itallian,true,false
NEO CHINA,(919) 489-2828,4015 UNIVERSITY DRIVE,27707,DURHAM,Asian,false,false
IBM CAFETERIA  500,(919) 490-2964,4205 MIAMI BLVD,27709,RTP,Coffee,false,true
"PAPA JOHN'S #639",(919) 682-7272,811 BROAD ST,27701,DURHAM,Itallian,true,false
CRACKER BARREL  345,(919) 309-2888,3706 HILLSBOROUGH RD,27705,DURHAM,American,false,false
